title,upvotes,comments,link,post_time,platform
Advent of Code 2025,87,35,https://adventofcode.com/2025/about,2025-11-30 14:35:08,hacker_news
CachyOS: Fast and Customizable Linux Distribution,126,117,https://cachyos.org/,2025-11-30 14:35:10,hacker_news
Show HN: Boing,504,92,https://boing.greg.technology/,2025-11-30 14:35:10,hacker_news
"Norway wealth fund to vote for human rights report at Microsoft, against Nadella",49,23,https://www.cnbc.com/2025/11/30/norway-wealth-fund-to-vote-for-human-rights-report-at-microsoft-agm-against-management.html,2025-11-30 14:35:11,hacker_news
Show HN: Real-time system that tracks how news spreads across 200k websites,90,25,https://yandori.io/news-flow/,2025-11-30 14:35:11,hacker_news
Zigbook Is Plagiarizing the Zigtools Playground,357,94,https://zigtools.org/blog/zigbook-plagiarizing-playground/,2025-11-30 14:35:11,hacker_news
RL is more information inefficient than you thought,56,16,https://www.dwarkesh.com/p/bits-per-sample,2025-11-30 14:35:12,hacker_news
All it takes is for one to work out,620,282,https://alearningaday.blog/2025/11/28/all-it-takes-is-for-one-to-work-out-2/,2025-11-30 14:35:12,hacker_news
Windows drive letters are not limited to A-Z,5,0,https://www.ryanliptak.com/blog/windows-drive-letters-are-not-limited-to-a-z/,2025-11-30 14:35:13,hacker_news
Paul Hegarty's updated CS193p SwiftUI course released by Stanford,15,1,https://cs193p.stanford.edu/,2025-11-30 14:35:13,hacker_news
The space of minds,29,12,https://karpathy.bearblog.dev/the-space-of-minds/,2025-11-30 14:35:14,hacker_news
What's Hiding Inside Haribo's Power Bank and Headphones?,76,25,https://www.lumafield.com/first-article/posts/whats-hiding-inside-haribos-power-bank-and-headphones,2025-11-30 14:35:14,hacker_news
Landlock-Ing Linux,233,90,https://blog.prizrak.me/post/landlock/,2025-11-30 14:35:15,hacker_news
Meshtastic,218,41,https://meshtastic.org/,2025-11-30 14:35:15,hacker_news
The HTTP Query Method,218,97,https://www.ietf.org/archive/id/draft-ietf-httpbis-safe-method-w-body-14.html,2025-11-30 14:35:16,hacker_news
Datacenters in space aren't going to work,372,302,https://taranis.ie/datacenters-in-space-are-a-terrible-horrible-no-good-idea/,2025-11-30 14:35:16,hacker_news
Learning Feynman's Trick for Integrals,226,30,https://zackyzz.github.io/feynman.html,2025-11-30 14:35:17,hacker_news
Jiga (YC W21) Is Hiring Product Designer,1,0,https://www.ycombinator.com/companies/jiga/jobs/Cco7vyK-product-designer-remote-europe,2025-11-30 14:35:17,hacker_news
Americans no longer see four-year college degrees as worth the cost,355,535,https://www.nbcnews.com/politics/politics-news/poll-dramatic-shift-americans-no-longer-see-four-year-college-degrees-rcna243672,2025-11-30 14:35:17,hacker_news
A new Little Prince museum has opened its doors in Switzerland,81,49,https://www.lepetitprince.com/en/events-around-the-world/a-new-little-prince-museum-has-opened-its-doors-in-switzerland/,2025-11-30 14:35:18,hacker_news
Blender facial animation tool. What else should it do?,105,13,https://github.com/shun126/livelinkface_arkit_receiver/wiki,2025-11-30 14:35:18,hacker_news
Leak confirms OpenAI is preparing ads on ChatGPT for public roll out,742,662,https://www.bleepingcomputer.com/news/artificial-intelligence/leak-confirms-openai-is-preparing-ads-on-chatgpt-for-public-roll-out/,2025-11-30 14:35:19,hacker_news
Advice for crime analyst to break into data science,15,0,https://andrewpwheeler.com/2025/11/21/advice-for-crime-analyst-to-break-into-data-science/,2025-11-30 14:35:19,hacker_news
Our Phosphorescent World,31,1,https://aeon.co/essays/the-cycling-of-phosphorus-is-the-basis-for-all-life-on-earth,2025-11-30 14:35:20,hacker_news
